Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Beverages,100 Plus Zero Sugar Isotonic Drink 1.5L,1.5 liter,3.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/100-plus-zero-sugar-1-5lit?variant=42524068642983"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,137 Macadamia Milk 1L,1 liter,23.70,,,,,"<a href=""https://jgsj.jayagrocer.com/products/137-macadamia-milk-1l?variant=46316115853479"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,137 Pistachio Milk Double Belgian Chocolate 1L,1 liter,23.70,,,,,"<a href=""https://jgsj.jayagrocer.com/products/137-pistachio-milk-double-belgian-chocolate-1l?variant=46316109824167"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,7 Up Carbonated Drink Can 320ml x 12,320 ml x 12,13.20,,,,1.10,"<a href=""https://jgsj.jayagrocer.com/products/7-up-carbonated-drink-can-320ml-x-12?variant=46430678909095"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,7 Up Revive Sport Drink Can 320ml x 12,320 ml x 12,11.90,,,,0.99,"<a href=""https://jgsj.jayagrocer.com/products/7-up-revive-sport-drink-can-320ml-x-12?variant=46430678712487"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,7up 1.5L,1.5 liter,3.29,4.20,0.91,21.70,,"<a href=""https://jgsj.jayagrocer.com/products/7up-lemon-lime-bubbles-carbonated-drink-1-5l-1?variant=41612034769063"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,7up 500ml,500 ml,2.40,,,,,"<a href=""https://jgsj.jayagrocer.com/products/7up-beverage-bottle-500ml-1?variant=41612036833447"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,7up Can 320ml,320 ml,1.85,,,,,"<a href=""https://jgsj.jayagrocer.com/products/7up-carbonated-drink-320ml-1?variant=41612031262887"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,7up Zero Sugar 1.5L,1.5 liter,3.29,4.20,0.91,21.70,,"<a href=""https://jgsj.jayagrocer.com/products/7-up-free-1-5l?variant=42876152709287"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,7up Zero Sugar Can 320ml,320 ml,1.90,,,,,"<a href=""https://jgsj.jayagrocer.com/products/7-up-free-can-320ml?variant=42876152774823"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
Beverages,A&W Sarsaparilla 500ml,500 ml,2.40,,,,,"<a href=""https://jgsj.jayagrocer.com/products/a-w-sarsaparilla-carbonated-drink-500ml-1?variant=41612489359527"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/beverages"" target=""_blank"">Start URL</a>"
