Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,Lotuss Round Marble Cake,620 g,10.49,,,,,"<a href=""https://www.lotuss.com.my/en/product/75119345"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Scs Butter Cake,,6.99,,,,,"<a href=""https://www.lotuss.com.my/en/product/75160255"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Spicy Chic Floss (0293) 4pcs,4 pcs,9.49,,,,2.37,"<a href=""https://www.lotuss.com.my/en/product/spicy-chic-floss-4s-0293-70005672"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Sugar Donut (0646) 4pcs,4 pcs,6.69,,,,1.67,"<a href=""https://www.lotuss.com.my/en/product/sugar-donut-4s-0646-74922467"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Vanilla Cake,400 g,11.59,,,,,"<a href=""https://www.lotuss.com.my/en/product/vanilla-cake-400g-74843591"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Vanilla Cupcake 4pcs,4 pcs,4.99,,,,1.25,"<a href=""https://www.lotuss.com.my/en/product/vanilla-cupcake-4s-74597353"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Wheatbran Loaf,,2.99,,,,,"<a href=""https://www.lotuss.com.my/en/product/wheatbran-loaf-74413686"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss White Sandwich Loaf,380 g,2.79,,,,,"<a href=""https://www.lotuss.com.my/en/product/white-sandwich-loaf-380g-n-74326791"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Wholemeal Baguette (0836),,4.69,,,,,"<a href=""https://www.lotuss.com.my/en/product/75091685"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Wraps Garlic 8pcs,8 pcs,8.29,,,,1.04,"<a href=""https://www.lotuss.com.my/en/product/75040107"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
